Title,Content,Content_english,Images,Icon,Source,Source_URL
Sedan,"Sedan là một loại xe khách mà thân xe đại thể chia làm ba khoang: khoang động cơ, khoang hành khách và khoang hành lý. Ở Anh, người ta gọi loại xe này là xe saloon. Khoang hành khách thường gồm hai dãy ghế. Khoang động cơ thường ở phía trước. Còn khoang hành lý thường ở phía sau. Sedan là xe 4 cửa, với trần xe kéo dài từ trước ra sau, có lên xuống cân đối tạo ra vùng cốp xe ở phía sau để chở hành lý, với cách mở cốp hắt lên. Sedan là loại thân xe khách phổ biến nhất.",,https://drive.google.com/open?id=0B0wE6gMwqohFWXdobU1sNjZ0UU0,,wikipedia,https://vi.wikipedia.org/wiki/Sedan_(%C3%B4_t%C3%B4)
Hatchback,"Hatchback là một kiểu thân xe ô tô gồm 2 khoang: khoang động cơ phía trước và khoang hành khách và hành lý chung phía sau cùng 3 trụ chính và gầm thấp dưới 200 mm như sedan.. Loại xe này có thể có 3 hoặc 5 cửa trong đó có 1 cửa phía sau để tiện cho việc cất vào hay lấy hành lý ra. Trong tiếng Anh, ""hatch"" nghĩa là cửa sập, còn ""back"" nghĩa là phía sau. ",,https://drive.google.com/open?id=0B0wE6gMwqohFU1Q4a1dnbk91dXc,,wikipedia,https://vi.wikipedia.org/wiki/Hatchback
SUV,"Bản chất SUV là Sport Utility Vehicle, xe thể thao đa dụng, với đặc trưng gầm cao, hệ dẫn động 4 bánh toàn thời gian hoặc bán thời gian. Kích thước dòng xe này thường từ cỡ trung đến lớn, với trang bị thiên về khả năng chạy đường dài, off-road nhiều hơn là di chuyển phố. Cũng vì thế, SUV thường có thiết kế vuông vức, đường nét đơn giản, nam tính. ",,https://drive.google.com/open?id=0B0wE6gMwqohFWHVnYTZXRHhoVTQ,,VnExpress,http://vnexpress.net/tin-tuc/oto-xe-may/phan-biet-cac-dong-oto-tai-viet-nam-3263772.html
Crossover ,"Crossover là khái niệm kết hợp một chiếc SUV và xe đô thị. Theo đó, crossover có gầm cao thừa hưởng từ SUV, nhưng thiết kế phức tạp, màu mè hơn, nội thất trang bị nhiều tính năng cho hành khách như trên sedan. Dòng xe này thường có kích thước nhỏ hoặc trung, là giải pháp cho người sống ở thành thị nhưng thích phong cách SUV",,https://drive.google.com/open?id=0B0wE6gMwqohFcmFjc29hZmxLVms,,VnExpress,http://vnexpress.net/tin-tuc/oto-xe-may/phan-biet-cac-dong-oto-tai-viet-nam-3263772.html
MPV,"MPV là chữ cái đầu của Multiple-Purpose Vehicle (có người giải thích là multi-person vehicle) trong tiếng Anh, và gọi theo cách của Châu Âu. Đó là dòng xe đa dụng, có thể chuyển đổi giữa chở người và chở hàng hóa bằng cách gập hàng ghế sau lên xuống. Ở Mỹ dòng xe này thường được gọi là Minivan. Thường có 5-7 chỗ, 3 hàng ghế. Hàng ghế sau cùng thường nhỏ hơn và khi cần có thể gập lại, để tăng không gian chở đồ đạc. Gầm cao hơn xe Sedan và Hatchback, nhưng thấp hơn xe SUV hay Crossover. Phần ca-pô khá ngắn, thân xe bắt đầu từ gần mũi xe và kéo dài về sát phía đuôi để tăng không gian chuyên chở.",,https://drive.google.com/open?id=0B0wE6gMwqohFR2tnOEYxNWV0QzA,,Carly.vn,http://carly.vn/xe-mpv-la-gi.html
Pickup,"Xe pickup với tên đầy đủ là Pickup Truck, là một chiếc SUV nhưng lại có thùng chở hàng phía sau và là một loại hình của xe tải lai với xe ô tô chở khách, còn gọi là xe bán tải. Thân xe gồm 2 khoang riêng biệt: khoang chở người + thùng chở hàng. Trong khi khoang chở người gần giống như xe ô tô con, thì thùng chở hàng nằm tách riêng phía sau là một đặc điểm dễ nhận thấy nhất của dòng pickup. Có kết cấu thân trên khung (body on frame) giống xe tải, tạo sự chắc chắn và khả năng chịu tải cao. Trong số các dòng xe phổ biến, cũng chỉ có thêm SUV sở hữu khung gầm kiểu này.",,https://drive.google.com/open?id=0B0wE6gMwqohFMGRlTDVaM3RQalU,,terocket.com ,http://www.terocket.com/p/pickup.html
Sportback,"Sportback là dòng xe coupe 4 cửa, điển hình như các mẫu Audi A5 Sportback, Audi A7 Sportback.",,https://drive.google.com/open?id=0B0wE6gMwqohFZ0gtZzNiX01SRmM,,danhgiaxe.com,https://www.danhgiaxe.com/cac-mau-xe-coupe-4-cua-tren-thi-truong-viet-nam-4508
Saloon,"Saloon là tên gọi khác của dòng sedan, là một loại xe khách mà thân xe đại thể chia làm ba khoang: khoang động cơ, khoang hành khách và khoang hành lý. Ở Anh, người ta gọi loại xe này là xe saloon. Khoang hành khách thường gồm hai dãy ghế. Khoang động cơ thường ở phía trước. Còn khoang hành lý thường ở phía sau. Ở Anh hay gọi sedan là saloon.",,https://drive.google.com/open?id=0B0wE6gMwqohFMF9RTTRybzFRa2M,,wikipedia,https://vi.wikipedia.org/wiki/Sedan_(%C3%B4_t%C3%B4)
Coupe,"Coupe là mẫu xe mui kín với phần mái kéo dài xuống tận đuôi mang lại cảm giác thể thao kết hợp với thiết kế 2 cửa, 2 chỗ ngồi, không có trụ B, thường sử dụng động cơ công suất lớn, khoang cabin nhỏ và chiều dài xe ngắn hơn biến thể sedan (nếu có). Định nghĩa về xe coupe có mặt từ rất sớm nhưng ban đầu chủ yếu để ám chỉ xe 2 cửa, 2 chỗ ngồi. Ngày nay có một số biến thể của dòng xe coupe là coupe 4 cửa, 4 hoặc 5 chỗ ngồi.",,https://drive.google.com/open?id=0B0wE6gMwqohFbC1ob3hzZEMzSkE,,Báo Thanh niên,http://xe.thanhnien.vn/kham-pha/coupe-la-gi-nhung-bien-the-cua-xe-coupe-9917.html
Van,"Van là dòng xe ô tô cỡ trung có kích thước nhỏ hơn xe khách (bus) nhưng lớn hơn dòng xe đa dụng (MVP / minivan). Xe Van thường dùng để chở người, hoặc hàng hóa thiết bị trong một số lĩnh vực như: khách sạn, bệnh viện, cứu hỏa, bưu chính, kinh doanh vận tải...
Dòng xe Van có một số đặc điểm chính như sau:
- Có nhiều chỗ ngồi hơn xe gia đình, thường từ 10-16 chỗ. Với xe ít chỗ hơn thì được xếp vào hạng Minivan.
- Dạng khối kín (covered vehicle), nên có thể phân biệt rõ với xe có không gian mở như dòng mui trần (convertible), xe bán tải (pickup), hay xe tải (truck). Theo như tôi tìm hiểu trên trang kbb.com, thì chữ “Van” bắt nguồn từ chữ caravan trong tiếng Anh, khởi đầu biểu thị nghĩa là ""xe dạng khối kín"".
- Thường có cửa mở phía sau và cửa trượt ngang bên cạnh để người lên xuống (trừ loại nhỏ - minivan thì không có cửa trượt). Trong số các dòng xe phổ biến, chỉ xe van là có cửa trượt ngang, số còn lại đều có cửa đóng mở (bên cạnh) hoặc hất lên (phía đuôi).",,https://drive.google.com/open?id=0B0wE6gMwqohFSDJGa3duUHdDVG8,,Carly.vn,http://carly.vn/xe-van-la-gi.html
